PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE IF NOT EXISTS "stock_shoppinghistory" (id, target_name, value, num,material_name,material_item_name,material_parent_category_name,material_unit,date,is_send,created_at,updated_at);
INSERT INTO stock_shoppinghistory VALUES(100,'west',56.5,5,'Rice','DU/Other','Sushi','p','2023-04-25',1,'2023-04-26 03:48:26.972347','2023-04-30 02:09:14.654456');
INSERT INTO stock_shoppinghistory VALUES(101,'west',56.5,5,'Rice','DU/Other','Sushi','p','2023-04-25',1,'2023-04-26 03:48:30.276767','2023-04-30 02:09:14.659199');
INSERT INTO stock_shoppinghistory VALUES(102,'west',5.7999999999999998223,1,'Green Onion(Ramen)','Veggie','Kitchen','p','2023-04-25',1,'2023-04-26 03:49:39.242314','2023-04-30 02:09:14.663156');
INSERT INTO stock_shoppinghistory VALUES(103,'west',20,1,'Yam','Veggie','Kitchen','p','2023-04-25',1,'2023-04-26 03:50:18.021728','2023-04-30 02:09:14.667335');
INSERT INTO stock_shoppinghistory VALUES(104,'west',20,1,'Yam','Veggie','Kitchen','p','2023-04-25',1,'2023-04-26 03:50:23.327966','2023-04-30 02:09:14.672031');
INSERT INTO stock_shoppinghistory VALUES(105,'west',19,1,'Beansprout','Veggie','Kitchen','p','2023-04-25',1,'2023-04-26 03:53:48.858656','2023-04-30 02:09:14.675863');
INSERT INTO stock_shoppinghistory VALUES(106,'west',2,1,'Cirantro','Veggie','Kitchen','p','2023-04-25',1,'2023-04-26 03:54:08.250092','2023-04-30 02:09:14.679602');
INSERT INTO stock_shoppinghistory VALUES(107,'west',95,2,'Raw Karaage','Meat','Kitchen','p','2023-04-25',1,'2023-04-26 03:54:27.789188','2023-04-30 02:09:14.683953');
INSERT INTO stock_shoppinghistory VALUES(108,'west',48,1,'Raw Teriyaki chicken','Meat','Kitchen','p','2023-04-25',1,'2023-04-26 03:54:44.604566','2023-04-30 02:09:14.687462');
INSERT INTO stock_shoppinghistory VALUES(109,'west',2.7999999999999998223,1,'Cha-shu','Meat','Kitchen','p','2023-04-25',1,'2023-04-26 03:55:01.961677','2023-04-30 02:09:14.691229');
INSERT INTO stock_shoppinghistory VALUES(110,'west',47.60000000000000142,2,'Chicken soup','Sauce/Soup','Kitchen','p','2023-04-25',1,'2023-04-26 03:55:23.254421','2023-04-30 02:09:14.694903');
INSERT INTO stock_shoppinghistory VALUES(111,'west',61,1,'Miso Ramen Sauce','Sauce/Soup','Kitchen','p','2023-04-25',1,'2023-04-26 03:55:43.166430','2023-04-30 02:09:14.698586');
INSERT INTO stock_shoppinghistory VALUES(112,'west',158.40000000000000568,12,'Shrimp Tempura','F. Kitchen','Frozen','p','2023-04-25',1,'2023-04-26 03:56:57.347512','2023-04-30 02:09:14.702171');
INSERT INTO stock_shoppinghistory VALUES(113,'west',10.499999999999999999,5,'Edamame','F. Kitchen','Frozen','p','2023-04-25',1,'2023-04-26 03:57:21.046941','2023-04-30 02:09:14.709124');
INSERT INTO stock_shoppinghistory VALUES(114,'west',40.799999999999997158,1,'Ramen noodle','F. Kitchen','Frozen','cs','2023-04-25',1,'2023-04-26 03:57:35.773743','2023-04-30 02:09:14.715336');
INSERT INTO stock_shoppinghistory VALUES(115,'west',36.5,1,'Teriyaki noodle','F. Kitchen','Frozen','cs','2023-04-25',1,'2023-04-26 03:57:49.594023','2023-04-30 02:09:14.719994');
INSERT INTO stock_shoppinghistory VALUES(116,'west',3.5,1,'Harusame','Noodle','Dry','p','2023-04-25',1,'2023-04-26 03:58:13.989203','2023-04-30 02:09:14.735342');
INSERT INTO stock_shoppinghistory VALUES(117,'west',2.0400000000000000355,1,'Rice noodle','Noodle','Dry','p','2023-04-25',1,'2023-04-26 03:58:44.896052','2023-04-30 02:09:14.739714');
INSERT INTO stock_shoppinghistory VALUES(118,'west',2.7000000000000001776,1,'Tofu','Tofu/ Other','Dry','p','2023-04-25',1,'2023-04-26 03:59:45.998522','2023-04-30 02:09:14.743770');
INSERT INTO stock_shoppinghistory VALUES(119,'penticton',28.600000000000001421,1,'Ginger orosi','Dry Seasoning','Dry','p','2023-04-25',1,'2023-04-26 04:00:45.253312','2023-04-30 02:09:14.747677');
INSERT INTO stock_shoppinghistory VALUES(120,'west',27.5,1,'Vegan sauce','Other','Dry','p','2023-04-25',1,'2023-04-26 04:01:19.770508','2023-04-30 02:09:14.753664');
INSERT INTO stock_shoppinghistory VALUES(121,'west',28.600000000000001421,1,'Ginger orosi','Dry Seasoning','Dry','p','2023-04-25',1,'2023-04-26 04:03:36.690286','2023-04-30 02:09:14.760343');
